x,y,red,training FLOP,model size,model size (millions),loss,closest model size from chinchilla paper,difference,% difference
159.54282,368.26844,184,9.06E+18,"640,447,425.28",640,2.984455036,632,8,1.25
375.2967,362.08902,117,1.79E+20,"609,599,387.51",610,2.503231601,632,22,3.61
228.06346,361.65924,157,2.34E+19,"607,510,008.99",608,2.777091576,587,21,3.45
405.6339,360.42947,110,2.72E+20,"601,570,951.65",602,2.462642371,587,15,2.49
322.02267,360.22352,128,8.55E+19,"600,582,027.07",601,2.576156055,587,14,2.33
276.92815,359.86834,139,4.59E+19,"598,880,352.23",599,2.646526132,587,12,2
212.37505,357.50738,161,1.88E+19,"587,690,836.56",588,2.805457509,587,1,0.17
264.1198,356.40897,143,3.84E+19,"582,556,538.20",583,2.678285047,587,4,0.69
159.01832,354.94872,184,9.00E+18,"575,800,277.75",576,2.984455036,587,11,1.91
121.93268,354.17644,203,5.39E+18,"572,258,841.75",572,3.183308581,587,15,2.62
239.18331,351.46019,152,2.72E+19,"559,975,102.06",560,2.74416102,552,8,1.43
316.40727,349.05745,129,7.91E+19,"549,329,117.19",549,2.584134797,552,3,0.55
287.61141,348.21575,137,5.32E+19,"545,647,807.18",546,2.639520029,552,6,1.1
217.01114,344.33551,159,2.00E+19,"528,993,405.23",529,2.789389691,509,20,3.78
267.05775,341.48804,143,4.00E+19,"517,096,034.80",517,2.678285047,509,8,1.55
306.56824,339.139,134,6.91E+19,"507,482,904.54",507,2.615145002,509,2,0.39
203.07872,337.94212,165,1.65E+19,"502,653,771.44",503,2.83535883,509,6,1.19
355.85504,336.19301,124,1.36E+20,"495,679,045.63",496,2.553493472,489,7,1.41
255.56158,335.68264,146,3.41E+19,"493,662,201.26",494,2.703248584,489,5,1.01
122.84156,322.43874,198,5.46E+18,"444,100,551.33",444,3.122021289,425,19,4.28
160.78225,321.33175,181,9.22E+18,"440,190,541.47",440,2.962126614,425,15,3.41
324.06573,319.89611,130,8.80E+19,"435,170,931.73",435,2.595580108,425,10,2.3
406.54085,319.83041,119,2.75E+20,"434,942,591.20",435,2.518762529,425,10,2.3
246.65123,319.76773,150,3.02E+19,"434,724,858.36",435,2.7272502,425,10,2.3
233.95385,319.74386,154,2.53E+19,"434,641,969.30",435,2.756315098,425,10,2.3
290.90152,319.45731,137,5.56E+19,"433,648,151.40",434,2.639520029,425,9,2.07
295.70165,319.33497,137,5.95E+19,"433,224,542.08",433,2.639520029,425,8,1.85
115.91784,283.69522,193,4.96E+18,"325,884,742.55",326,3.070049201,306,20,6.13
157.33533,282.6042,180,8.79E+18,"323,056,756.62",323,2.949066921,306,17,5.26
261.68355,282.28778,146,3.72E+19,"322,241,178.24",322,2.703248584,306,16,4.97
238.684,281.90277,152,2.70E+19,"321,251,584.20",321,2.74416102,306,15,4.67
170.31977,280.32379,175,1.05E+19,"317,224,808.41",317,2.914097094,306,11,3.47
316.59782,279.08212,137,7.94E+19,"314,093,737.45",314,2.639520029,306,8,2.55
216.56729,278.62247,157,1.99E+19,"312,942,509.94",313,2.777091576,306,7,2.24
121.81981,269.65845,193,5.38E+18,"291,316,223.34",291,3.070049201,278,13,4.47
304.64096,269.15771,140,6.73E+19,"290,153,221.67",290,2.658247778,278,12,4.14
232.51344,268.90617,156,2.48E+19,"289,570,756.57",290,2.768515802,278,12,4.14
158.74044,268.69555,178,8.96E+18,"289,083,945.19",289,2.93996008,278,11,3.81
208.82438,267.76287,161,1.79E+19,"286,938,035.47",287,2.805457509,278,9,3.14
285.52492,267.0803,145,5.17E+19,"285,377,680.08",285,2.69133551,278,7,2.46
257.13669,267.04448,148,3.49E+19,"285,296,030.27",285,2.710423842,278,7,2.46
198.8527,254.56212,166,1.56E+19,"258,219,634.86",258,2.844141658,251,7,2.71
149.62379,254.35021,183,7.90E+18,"257,782,872.81",258,2.97524027,251,7,2.71
300.59823,254.32932,143,6.36E+19,"257,739,857.01",258,2.678285047,251,7,2.71
118.77474,241.05478,194,5.16E+18,"231,807,091.21",232,3.085001986,217,15,6.47
132.03991,237.33696,188,6.20E+18,"225,023,597.26",225,3.020269175,217,8,3.56
229.91529,237.19086,157,2.40E+19,"224,761,117.03",225,2.777091576,217,8,3.56
283.4095,237.00262,146,5.02E+19,"224,423,380.27",224,2.703248584,217,7,3.13
234.26404,236.80405,157,2.54E+19,"224,067,659.65",224,2.777091576,217,7,3.13
158.07825,235.65648,180,8.88E+18,"222,022,906.34",222,2.949066921,217,5,2.25
120.82987,226.83174,190,5.31E+18,"206,909,824.75",207,3.04842025,217,10,4.83
174.87124,224.95861,172,1.12E+19,"203,836,733.31",204,2.891018753,196,8,3.92
273.50533,223.67556,152,4.38E+19,"201,758,118.83",202,2.74416102,196,6,2.97
222.93287,221.95632,161,2.18E+19,"199,006,043.65",199,2.805457509,196,3,1.51
154.82915,213.15121,178,8.49E+18,"185,488,803.52",185,2.93996008,175,10,5.41
239.76032,212.58722,161,2.75E+19,"184,654,963.29",185,2.805457509,175,10,5.41
116.44177,211.31215,190,5.00E+18,"182,783,605.85",183,3.04842025,175,8,4.37
266.60898,211.12747,156,3.98E+19,"182,514,137.03",183,2.768515802,175,8,4.37
164.61407,210.90397,178,9.72E+18,"182,188,556.73",182,2.93996008,175,7,3.85
128.37302,210.22328,190,5.89E+18,"181,200,545.38",181,3.04842025,175,6,3.31
211.75513,208.90088,168,1.86E+19,"179,296,391.18",179,2.858000289,175,4,2.23
148.87579,202.30791,181,7.82E+18,"170,097,452.90",170,2.962126614,175,5,2.94
249.47438,201.80935,159,3.14E+19,"169,421,335.04",169,2.789389691,163,6,3.55
97.84359,201.77492,197,3.86E+18,"169,374,742.42",169,3.108262705,163,6,3.55
120.19887,183.41759,192,5.26E+18,"146,271,421.68",146,3.0565117,140,6,4.11
157.6463,183.37071,183,8.83E+18,"146,216,652.34",146,2.97524027,140,6,4.11
187.86547,183.28471,173,1.34E+19,"146,116,232.89",146,2.905099564,140,6,4.11
233.78473,183.12574,165,2.53E+19,"145,930,790.23",146,2.83535883,140,6,4.11
230.17581,183.07843,165,2.40E+19,"145,875,647.34",146,2.83535883,140,6,4.11
137.73985,182.70023,186,6.71E+18,"145,435,578.97",145,3.010942458,140,5,3.45
87.38497,182.4036,199,3.34E+18,"145,091,353.50",145,3.131692085,140,5,3.45
74.57832,160.49217,204,2.80E+18,"121,792,830.85",122,3.197399352,117,5,4.1
121.05331,160.13118,193,5.33E+18,"121,442,109.21",121,3.070049201,117,4,3.31
170.75877,158.73259,180,1.06E+19,"120,092,812.17",120,2.949066921,117,3,2.5
155.04121,148.49637,185,8.52E+18,"110,663,228.61",111,2.997673393,106,5,4.5
151.37296,148.14119,185,8.10E+18,"110,349,678.05",110,2.997673393,106,4,3.64
50.65435,147.79686,212,2.01E+18,"110,046,553.93",110,3.300746294,106,4,3.64
110.89689,147.69258,196,4.63E+18,"109,954,917.47",110,3.094556701,106,4,3.64
39.54143,128.11072,214,1.73E+18,"94,032,306.93",94,3.334462924,90,4,4.26
89.50379,127.78835,203,3.44E+18,"93,790,457.90",94,3.183308581,90,4,4.26
138.16238,124.89096,190,6.74E+18,"91,644,501.39",92,3.04842025,90,2,2.17
130.10395,104.62683,196,6.03E+18,"77,947,424.52",78,3.094556701,74,4,5.13
75.32163,103.99434,206,2.83E+18,"77,554,571.19",78,3.222931847,74,4,5.13
22.56313,103.43994,218,1.37E+18,"77,211,849.98",77,3.414970177,74,3,3.9
173.45242,102.06229,190,1.10E+19,"76,366,752.20",76,3.04842025,74,2,2.63
118.85532,101.46714,197,5.17E+18,"76,004,533.82",76,3.108262705,74,2,2.63
126.39025,71.77165,201,5.73E+18,"59,953,366.00",60,3.159486255,57,3,5
